Name,Protocols,TVL
Ethereum,1075,$65.177b
Tron,32,$8.442b
BSC,755,$5.444b
Solana,142,$4.79b
Arbitrum,633,$3.09b
Blast,117,$2.254b
Base,287,$1.741b
Merlin,17,$1.174b
Bitcoin,19,$1.165b
Polygon,554,$953m
Avalanche,385,$889.27m
Optimism,236,$829.25m
Sui,33,$712.46m
Linea,91,$625.52m
Mode,43,$564.69m
Hyperliquid,2,$516.52m
Cronos,112,$509.35m
Mantle,79,$451.21m
Thorchain,3,$400.83m
Aptos,41,$387.17m
TON,15,$364.22m
PulseChain,41,$360.63m
zkLink Nova,13,$326.66m
Gnosis,65,$314.64m
Near,23,$312.76m
Starknet,26,$294.42m
Cardano,36,$254.07m
Bitlayer,12,$243.87m
Kava,138,$215.35m
Ronin,4,$215.19m
Rootstock,13,$198.5m
Osmosis,17,$165.92m
Scroll,72,$154.04m
dYdX,2,$146.38m
zkSync Era,108,$143.45m
Celo,50,$142.11m
MultiversX,21,$135.38m
Fantom,324,$130.44m
Mixin,10,$130.24m
EOS,21,$124.04m
Stacks,10,$116.68m
Fusion,3,$102.9m
Algorand,31,$93.75m
Hedera,9,$93.65m
Karak Network,2,$89.81m
ICP,9,$86.34m
MAP Protocol,8,$78.58m
Metis,58,$74.59m
Injective,20,$70.86m
Klaytn,53,$62.7m
Filecoin,19,$62.05m
DefiChain,3,$61.75m
Manta,55,$61.4m
Kujira,15,$58.9m
Telos,37,$46.36m
Moonbeam,59,$44.49m
BOB,8,$42.73m
Neutron,6,$39.39m
NEO,6,$38.03m
Canto,25,$36.64m
Radix,9,$34.29m
Mayachain,1,$31.75m
Astar,42,$31.34m
Tezos,20,$29.84m
HydraDX,1,$27.72m
Fraxtal,7,$27.48m
Flow,5,$27.24m
IoTeX,25,$26.31m
opBNB,38,$25.9m
CORE,34,$24.84m
Aurora,59,$22.35m
Sei,9,$21.06m
Secret,9,$20.68m
Zkfair,12,$20.63m
Conflux,16,$19.25m
Bifrost Network,4,$18.61m
Acala,8,$17.48m
BSquared,8,$17.24m
FSC,1,$17.1m
Oraichain,3,$16.62m
Bitcoincash,3,$15.39m
Parallel,5,$15.37m
WEMIX3.0,12,$12.96m
Polygon zkEVM,66,$12.86m
Icon,6,$12.61m
Waves,9,$11.8m
Venom,3,$11.12m
Bifrost,3,$11.07m
Ontology,3,$10.61m
UX,3,$10.35m
Proton,3,$10.12m
Stellar,1,$9.43m
XDC,11,$9.28m
Flare,6,$9.17m
Carbon,4,$9.09m
X Layer,21,$8.63m
Moonriver,57,$7.87m
Alephium,3,$7.58m
Pego,2,$7.57m
DFS Network,1,$6.87m
Nuls,4,$6.55m
smartBCH,22,$6.5m
Terra2,14,$6.43m
Ergo,8,$6.08m
GodwokenV1,7,$6.01m
Astar zkEVM,10,$5.95m
Boba,27,$5.77m
Doge,4,$5.72m
Ultron,3,$5.52m
Litecoin,4,$5.35m
Interlay,5,$5.28m
Archway,5,$5.09m
Immutable zkEVM,3,$5.07m
Meter,12,$4.97m
Vite,4,$4.95m
Beam,2,$4.94m
Persistence,3,$4.82m
Oasys,2,$4.5m
DFK,2,$4.49m
Wanchain,9,$4.29m
Dogechain,44,$4.23m
ShimmerEVM,7,$4.19m
Vision,2,$3.89m
Elastos,3,$3.77m
Oasis Sapphire,3,$3.75m
Horizen EON,7,$3.53m
ZetaChain,18,$3.52m
BounceBit,6,$3.47m
FunctionX,3,$3.38m
DeFiChain EVM,3,$3.38m
Onus,5,$3.32m
Kroma,5,$3.32m
Songbird,6,$3.04m
Terra Classic,30,$3.03m
Everscale,2,$2.98m
Theta,5,$2.93m
Harmony,60,$2.93m
aelf,1,$2.89m
DeFiVerse,2,$2.81m
Evmos,23,$2.71m
Zilliqa,7,$2.55m
Degen,9,$2.53m
OKTChain,36,$2.49m
Shibarium,13,$2.37m
Zora,4,$2.11m
EOS EVM,8,$2.1m
Arbitrum Nova,10,$2.01m
BEVM,6,$2.01m
XPLA,2,$1.94m
SXnetwork,1,$1.81m
KCC,28,$1.77m
Naka,1,$1.7m
Velas,15,$1.7m
Hydra,3,$1.66m
Equilibrium,1,$1.63m
Karura,5,$1.62m
re.al,2,$1.59m
Elysium,1,$1.5m
Fuse,22,$1.44m
CosmosHub,4,$1.34m
Obyte,7,$1.29m
Taiko,6,$1.25m
Wax,3,$1.25m
Nolus,1,$1.24m
Milkomeda C1,21,$1.24m
Oasis Emerald,19,$1.23m
SatoshiVM,1,$1.2m
Bostrom,1,$1.17m
Kadena,5,$1.07m
Migaloo,3,$1.07m
Rollux,2,"$992,911"
Neon,11,"$949,345"
RENEC,1,"$913,780"
LightLink,2,"$900,261"
Chihuahua,3,"$872,024"
Heiko,5,"$852,960"
ThunderCore,9,"$842,487"
Energi,1,"$814,832"
VeChain,2,"$800,675"
Rangers,2,"$786,276"
Sora,2,"$762,572"
Chiliz,4,"$740,739"
Heco,50,"$685,438"
Xai,1,"$680,847"
Juno,10,"$651,094"
Starcoin,3,"$611,535"
HAQQ,1,"$610,745"
NOS,1,"$550,389"
Comdex,6,"$544,591"
EthereumClassic,7,"$536,803"
Concordium,1,"$536,637"
Crab,1,"$505,767"
Q Protocol,2,"$496,772"
ENULS,3,"$493,153"
Grove,1,"$487,792"
Dash,1,"$484,748"
Aura Network,1,"$465,807"
inEVM,7,"$451,967"
Boba_Bnb,2,"$449,982"
Viction,6,"$449,467"
Bittorrent,15,"$439,350"
Step,2,"$432,417"
EnergyWeb,1,"$384,453"
Kintsugi,1,"$367,810"
CSC,5,"$365,347"
Bitrock,1,"$355,229"
Manta Atlantic,1,"$349,009"
Tombchain,1,"$321,276"
Nahmii,1,"$300,834"
MVC,1,"$298,559"
MEER,1,"$290,692"
Kardia,7,"$287,293"
Bahamut,3,"$287,179"
Ripple,3,"$261,949"
Ancient8,2,"$259,700"
Libre,1,"$255,744"
Stargaze,3,"$249,788"
Genesys,1,"$223,436"
Polkadex,1,"$180,796"
Loop,2,"$166,333"
Omax,2,"$163,497"
EthereumPoW,18,"$144,944"
Godwoken,3,"$140,300"
OntologyEVM,4,"$135,819"
Endurance,2,"$119,801"
Newton,1,"$113,646"
Shiden,7,"$97,955"
ETHF,1,"$87,842"
Europa,3,"$84,924"
RSS3,1,"$79,780"
Polkadot,3,"$77,465"
Crescent,2,"$74,320"
ALV,2,"$71,879"
Areon Network,1,"$58,645"
Syscoin,4,"$56,867"
Ubiq,1,"$55,948"
Findora,5,"$55,318"
Goerli,1,"$48,774"
REI,6,"$30,351"
Darwinia,1,"$28,265"
JBC,3,"$27,486"
Tenet,2,"$24,274"
MultiVAC,3,"$23,769"
HPB,1,"$22,957"
Milkomeda A1,3,"$22,503"
Cube,3,"$22,054"
Lachain,3,"$20,338"
Planq,1,"$19,147"
Callisto,1,"$18,203"
GoChain,1,"$13,391"
Bitgert,12,"$9,835"
Sifchain,1,"$9,548"
REIchain,1,"$4,821"
Bitnet,1,"$3,912"
Cyber,2,"$2,131"
Lung,1,$980.6
Palm,2,$546.44
AirDAO,1,$158.68
DSC,1,$1.64
Bitkub Chain,1,$1.17
Kusama,1,$0
Celestia,1,$0
Dymension,1,$0
Quicksilver,1,$0
Pokt,1,$0
Sommelier,1,$0
zkSync Lite,4,$0
Stafi,1,$0
Boba_Avax,2,$0
Stride,1,$0
Dexit,3,$0
Nibiru,1,$0
Empire,1,$0
Hoo,4,$0
Echelon,5,$0
CLV,6,$0
CMP,1,$0
Nova Network,2,$0
Genshiro,1,$0
Lamden,1,$0
Polis,1,$0
ZYX,1,$0
Coti,1,$0
Kekchain,3,$0
MUUCHAIN,1,$0
Tlchain,1,$0
Zeniq,1,$0
Bitindi,2,$0
Bone,1,$0
LaChain Network,1,$0
